Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-10-17,162.679993,163.949997,162.210007,163.449997,135.039291,11730200,389.00
2014-10-20,162.350006,163.679993,162.25,163.649994,135.204559,7156500,392.00
2014-10-21,164.449997,165.869995,164.119995,165.800003,136.980743,8994600,393.00
2014-10-22,166.169998,166.229996,164.279999,164.380005,135.807739,6025100,394.00
2014-10-23,166.050003,167.360001,166.009995,166.449997,137.517899,7029700,395.00
2014-10-24,166.600006,167.789993,166.169998,167.740005,138.583618,5733500,396.00
2014-10-27,167.229996,168.059998,166.970001,167.880005,138.699387,5062900,399.00
2014-10-28,168.479996,169.690002,168.139999,169.660004,140.169907,5438900,400.00
2014-10-29,170.009995,170.339996,168.610001,169.399994,139.955032,7584000,401.00
2014-10-30,169.630005,171.940002,169.600006,171.600006,141.772751,7449200,402.00
2014-10-31,173.339996,173.630005,172.789993,173.449997,143.301163,7563500,403.00
2014-11-03,173.570007,173.779999,173.050003,173.360001,143.226822,5383200,406.00
2014-11-04,173.080002,173.649994,172.460007,173.460007,143.309402,6466000,407.00
2014-11-05,174.589996,174.619995,173.710007,174.550003,144.209915,5286200,408.00
2014-11-06,174.75,175.410004,174.179993,175.289993,144.821304,7191700,409.00
2014-11-07,175.240005,175.600006,174.770004,175.580002,145.060852,4018100,410.00
2014-11-10,175.619995,176.059998,175.330002,175.949997,145.366501,2941900,413.00
2014-11-11,175.979996,176.240005,175.690002,176.020004,145.424454,3192700,414.00
2014-11-12,175.259995,176.199997,175.25,176.039993,145.440933,2836500,415.00
2014-11-13,176.25,176.979996,175.789993,176.440002,145.771439,6508400,416.00
2014-11-14,176.360001,176.649994,176.119995,176.350006,145.697083,3521100,417.00
2014-11-17,176.059998,176.759995,176,176.490005,145.812714,3668900,420.00
2014-11-18,176.529999,177.380005,176.449997,176.960007,146.201004,4721700,421.00
2014-11-19,176.850006,177.190002,176.289993,176.929993,146.176178,4011400,422.00
2014-11-20,176.110001,177.279999,176.029999,177.25,146.440506,2881700,423.00
2014-11-21,178.520004,178.600006,177.279999,177.699997,147.184387,4782000,424.00
2014-11-24,178.130005,178.220001,177.589996,177.800003,147.267227,2408700,427.00
2014-11-25,178.160004,178.190002,177.559998,177.960007,147.39975,5510400,428.00
